company_name,rating,bio,salary,job,founded_in,field,other
TCS,3.3,IT Services & Consulting | Mumbai +438 other locations,969999.9999999999,2500.0,1968 (58 yrs old),IT Services & Consulting,Mumbai +438 other locations
Accenture,3.7,IT Services & Consulting | Mumbai +254 other locations,650000.0,36700.0,1989 (37 yrs old),IT Services & Consulting,Mumbai +254 other locations
Wipro,3.6,IT Services & Consulting | Mumbai +370 other locations,480000.0,5900.0,1945 (81 yrs old),IT Services & Consulting,Mumbai +370 other locations
Cognizant,3.6,IT Services & Consulting | Mumbai +229 other locations,600000.0,755.0,1994 (32 yrs old),IT Services & Consulting,Mumbai +229 other locations
Capgemini,3.7,IT Services & Consulting | Mumbai +184 other locations,480000.0,1700.0,1967 (59 yrs old),IT Services & Consulting,Mumbai +184 other locations
HDFC Bank,3.8,Banking | Mumbai +1821 other locations,150000.0,258.0,1994 (32 yrs old),Banking,Mumbai +1821 other locations
Infosys,3.5,IT Services & Consulting | Mumbai +246 other locations,520000.0,2600.0,,IT Services & Consulting,Mumbai +246 other locations
ICICI Bank,4.0,Banking | Mumbai +1436 other locations,150000.0,21.0,1994 (32 yrs old),Banking,Mumbai +1436 other locations
HCLTech,3.4,IT Services & Consulting | Mumbai +226 other locations,370000.0,165.0,,IT Services & Consulting,Mumbai +226 other locations
Tech Mahindra,3.4,IT Services & Consulting | Mumbai +331 other locations,280000.0,356.0,1986 (40 yrs old),IT Services & Consulting,Mumbai +331 other locations
Genpact,3.6,IT Services & Consulting | Mumbai +182 other locations,229999.99999999997,671.0,1997 (29 yrs old),IT Services & Consulting,Mumbai +182 other locations
Teleperformance,3.8,BPO | Mumbai +254 other locations,95700.0,1200.0,1978 (48 yrs old),BPO,Mumbai +254 other locations
Axis Bank,3.6,Banking | Mumbai +1498 other locations,100000.0,208.0,1993 (33 yrs old),Banking,Mumbai +1498 other locations
Jio,4.4,Telecom | Mumbai +1893 other locations,62100.0,3.0,2018 (8 yrs old),Telecom,Mumbai +1893 other locations
Concentrix Corporation,3.6,BPO | Mumbai +179 other locations,130000.0,79.0,1983 (43 yrs old),BPO,Mumbai +179 other locations
Amazon,3.9,Internet | Mumbai +518 other locations,150000.0,1600.0,1994 (32 yrs old),Internet,Mumbai +518 other locations
iEnergizer,4.6,BPO | Mumbai +51 other locations,23900.0,69.0,,BPO,Mumbai +51 other locations
Reliance Retail,3.9,Retail | Mumbai +1150 other locations,74400.0,157.0,2006 (20 yrs old),Retail,Mumbai +1150 other locations
LTIMindtree,3.6,IT Services & Consulting | Mumbai +146 other locations,190000.0,444.0,1997 (29 yrs old),IT Services & Consulting,Mumbai +146 other locations
IBM,3.9,IT Services & Consulting | Mumbai +160 other locations,210000.0,293.0,1911 (115 yrs old),IT Services & Consulting,Mumbai +160 other locations
HDB Financial Services,3.9,NBFC | Mumbai +1089 other locations,50000.0,191.0,2007 (19 yrs old),NBFC,Mumbai +1089 other locations
Larsen & Toubro Limited,3.9,Engineering & Construction | Mumbai +754 other locations,24000.0,77.0,,Engineering & Construction,Mumbai +754 other locations
Deloitte,3.7,Management Consulting | Mumbai +187 other locations,250000.0,1400.0,1845 (181 yrs old),Management Consulting,Mumbai +187 other locations
Kotak Mahindra Bank,3.6,Banking | Mumbai +681 other locations,86800.0,67.0,,Banking,Mumbai +681 other locations
Reliance Industries,4.0,Oil & Gas | Mumbai +812 other locations,72400.0,60.0,1977 (49 yrs old),Oil & Gas,Mumbai +812 other locations
Vodafone Idea,3.9,Telecom | Mumbai +704 other locations,50300.0,27.0,2018 (8 yrs old),Telecom,Mumbai +704 other locations
Bharti Airtel,3.8,Telecom | Mumbai +789 other locations,48900.0,112.0,1952 (74 yrs old),Telecom,Mumbai +789 other locations
BYJU'S,3.2,EdTech | Mumbai +321 other locations,53600.0,77.0,2011 (15 yrs old),EdTech,Mumbai +321 other locations
WNS,3.3,IT Services & Consulting | Mumbai +65 other locations,68700.0,79.0,1996 (30 yrs old),IT Services & Consulting,Mumbai +65 other locations
Tata Motors,4.1,Automobile | Mumbai +506 other locations,42500.0,172.0,1945 (81 yrs old),Automobile,Mumbai +506 other locations
IDFC FIRST Bank,3.9,Banking | Mumbai +710 other locations,48700.0,31.0,,Banking,Mumbai +710 other locations
Ernst & Young,3.4,Management Consulting | Mumbai +132 other locations,24000.0,77.0,,Management Consulting,Mumbai +132 other locations
IndusInd Bank,3.4,Banking | Mumbai +787 other locations,51700.0,146.0,,Banking,Mumbai +787 other locations
AU Small Finance Bank,3.9,Banking | Mumbai +782 other locations,28800.0,45.0,1996 (30 yrs old),Banking,Mumbai +782 other locations
Flipkart,3.9,Internet | Mumbai +560 other locations,53700.0,171.0,2007 (19 yrs old),Internet,Mumbai +560 other locations
Bajaj Finserv,3.9,NBFC | Mumbai +1161 other locations,30100.0,4.0,2007 (19 yrs old),NBFC,Mumbai +1161 other locations
Muthoot FinCorp,4.5,NBFC | Mumbai +1087 other locations,9000.0,39.0,,NBFC,Mumbai +1087 other locations
PwC,3.3,Management Consulting | Mumbai +132 other locations,120000.0,874.0,1880 (146 yrs old),Management Consulting,Mumbai +132 other locations
Mahindra & Mahindra,4.0,Automobile | Mumbai +562 other locations,24000.0,77.0,,Automobile,Mumbai +562 other locations
Infosys BPM,3.5,BPO | Mumbai +95 other locations,72600.0,101.0,2002 (24 yrs old),BPO,Mumbai +95 other locations
DXC Technology,3.6,IT Services & Consulting | Mumbai +133 other locations,72400.0,195.0,2017 (9 yrs old),IT Services & Consulting,Mumbai +133 other locations
HDFC Life,3.9,Insurance | Mumbai +698 other locations,33200.0,123.0,,Insurance,Mumbai +698 other locations
Maruti Suzuki,4.2,Automobile | Mumbai +482 other locations,34400.0,698.0,1981 (45 yrs old),Automobile,Mumbai +482 other locations
Bandhan Bank,3.7,Banking | Mumbai +995 other locations,25400.0,14.0,,Banking,Mumbai +995 other locations
Conneqt Business Solutions,3.6,BPO | Mumbai +267 other locations,26500.0,361.0,2002 (24 yrs old),BPO,Mumbai +267 other locations
Mphasis,3.3,IT Services & Consulting | Mumbai +63 other locations,73200.0,43.0,1998 (28 yrs old),IT Services & Consulting,Mumbai +63 other locations
Yes Bank,3.7,Banking | Mumbai +540 other locations,43300.0,157.0,2004 (22 yrs old),Banking,Mumbai +540 other locations
Tata Steel,4.0,Iron & Steel | Mumbai +228 other locations,33900.0,77.0,1907 (119 yrs old),Iron & Steel,Mumbai +228 other locations
Quess,3.8,Recruitment | Mumbai +740 other locations,30400.0,9.0,2007 (19 yrs old),Recruitment,Mumbai +740 other locations
Startek,3.1,BPO | Mumbai +107 other locations,24400.0,136.0,2017 (9 yrs old),BPO,Mumbai +107 other locations
Asian Paints,4.0,Chemicals | Mumbai +547 other locations,25200.0,56.0,,Chemicals,Mumbai +547 other locations
UltraTech Cement,4.1,Building Material | Mumbai +534 other locations,24100.0,24.0,1983 (43 yrs old),Building Material,Mumbai +534 other locations
Paytm,3.2,FinTech | Mumbai +418 other locations,34000.0,484.0,,FinTech,Mumbai +418 other locations
Shriram Finance,4.0,NBFC | Mumbai +1110 other locations,15200.0,8.0,1979 (47 yrs old),NBFC,Mumbai +1110 other locations
Bajaj Finance,3.9,NBFC | Mumbai +965 other locations,22700.0,5100.0,1987 (39 yrs old),NBFC,Mumbai +965 other locations
Equitas Small Finance Bank,4.4,Banking | Mumbai +479 other locations,13200.0,13.0,,Banking,Mumbai +479 other locations
Sutherland Global Services,3.4,BPO | Mumbai +82 other locations,34400.0,299.0,,BPO,Mumbai +82 other locations
